港澳台频道,#genre#
CCTV1,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv1.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000029752.m3u8%3Fcdn%3Dwasusyt$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000004000002226.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265001.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV2,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv2.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000023315.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000014161.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000023315.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-2-HD-265-8M.m3u8$tptv
CCTV3,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv3.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000022313.m3u8%3Fcdn%3Dwasusyt$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265003.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV4,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv4.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000011000031102.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265004.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-4-HD-265-8M.m3u8$tptv
CCTV5,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv5.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000025222.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265005.m3u8%3Fcdn%3Dystenlive$itv-HEVC
CCTV5+,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv5p.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000015875.m3u8%3Fcdn%3Dwasusyt$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265016.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-5PLUS-HD-265-8M.m3u8$tptv-lus
CCTV6,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000001737.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000004574.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265006.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-6-AVS-4K264.m3u8$tptv-高码
CCTV7,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv7.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000024341.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000009055.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265007.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-7-HD-265-8M.m3u8$tptv
CCTV8,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv8.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000001070.m3u8%3Fcdn%3Dwasusyt$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265008.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-8-AVS-4K264.m3u8$tptv
CCTV9,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv9.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000014583.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000032162.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265009.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-9-HQ.m3u8$tptv
